2thetadeg,intx,d-value,sigx,count
5.62004,37.78885,15.71218,0.40803,11498
5.63004,37.75325,15.6843,0.43672,11519
5.64004,37.68623,15.65652,0.39903,11572
5.65003,37.70414,15.62884,0.43578,11480
5.66003,37.71064,15.60125,0.43229,11798
5.67003,37.71223,15.57376,0.43428,11624
5.68003,37.61164,15.54637,0.48335,11661
5.69003,37.53062,15.51908,0.40821,11585
5.70003,37.53209,15.49188,0.388,11672
5.71002,37.53685,15.46477,0.43396,11844
5.72002,37.56531,15.43777,0.44931,11823
5.73002,37.43742,15.41085,0.44933,11908
5.74002,37.53098,15.38403,0.46128,11743
5.75002,37.33371,15.3573,0.45264,11768
5.76002,37.33979,15.33067,0.44021,11662
5.77001,37.30747,15.30412,0.45585,11836
5.78001,37.3345,15.27767,0.36894,11951
5.79001,37.27267,15.25131,0.36009,11893
5.80001,37.19107,15.22505,0.42953,11869
5.81001,37.14644,15.19887,0.42739,11879
5.82001,37.26376,15.17278,0.48683,12088
5.83,37.13759,15.14678,0.42628,12131
5.84,37.18957,15.12087,0.48491,12051
5.85,37.02574,15.09505,0.46782,11969
5.86,37.06012,15.06932,0.40005,12103
5.87,37.05192,15.04367,0.42362,12009
5.88,36.90326,15.01812,0.40096,12090
5.88999,37.08678,14.99264,0.40733,12009
5.89999,36.9056,14.96726,0.37476,12167
5.90999,36.96074,14.94196,0.45423,12043
5.91999,36.85719,14.91675,0.41735,12194
5.92999,36.95163,14.89162,0.44608,12240
5.93999,36.88793,14.86658,0.40893,12276
5.94998,36.87236,14.84162,0.43852,12215
5.95998,36.84249,14.81674,0.41575,12220
5.96998,36.89962,14.79195,0.40287,12515
5.97998,36.85884,14.76724,0.44645,12398
5.98998,36.81821,14.74261,0.49319,12339
5.99997,36.76238,14.71807,0.42309,12137
6.00997,36.77791,14.69361,0.36072,12209
6.01997,36.70091,14.66922,0.34922,12488
6.02997,36.67417,14.64492,0.43931,12409
6.03997,36.80146,14.6207,0.38661,12582
6.04997,36.7213,14.59656,0.39621,12636
6.05996,36.74081,14.5725,0.40551,12488
6.06996,36.66952,14.54852,0.48862,12737
6.07996,36.71357,14.52462,0.39436,12785
6.08996,36.6892,14.5008,0.43116,12572
6.09996,36.64065,14.47705,0.49429,12879
6.10996,36.69936,14.45338,0.46507,12509
6.11995,36.59699,14.42979,0.34651,12900
6.12995,36.61648,14.40628,0.35442,12693
6.13995,36.57224,14.38284,0.36966,12765
6.14995,36.60339,14.35948,0.39728,12966
6.15995,36.513,14.3362,0.43073,12917
6.16995,36.50696,14.31299,0.42687,13009
6.17994,36.54362,14.28985,0.41175,13115
6.18994,36.55751,14.2668,0.39536,13234
6.19994,36.50437,14.24381,0.40315,13122
6.20994,36.50506,14.2209,0.43811,13311
6.21994,36.49275,14.19806,0.44215,13175
6.22994,36.41907,14.1753,0.37106,13283
6.23993,36.50209,14.15261,0.39029,13252
6.24993,36.36133,14.12999,0.34588,13280
6.25993,36.46564,14.10744,0.38366,13254
6.26993,36.35687,14.08497,0.37487,13288
6.27993,36.4002,14.06257,0.47899,13541
6.28993,36.49508,14.04024,0.35551,13615
6.29992,36.35452,14.01798,0.38695,13682
6.30992,36.38698,13.99579,0.42143,13561
6.31992,36.33787,13.97367,0.42592,13642
6.32992,36.35704,13.95162,0.3897,13724
6.33992,36.37619,13.92964,0.37757,13779
6.34992,36.32344,13.90773,0.41424,13619
6.35991,36.33477,13.88589,0.38362,13854
6.36991,36.302,13.86411,0.38019,13695
6.37991,36.32029,13.84241,0.39847,13803
6.38991,36.31493,13.82077,0.35406,14037
6.39991,36.34099,13.7992,0.35844,13931
6.4099,36.22504,13.7777,0.37401,13998
6.4199,36.30449,13.75627,0.4058,14006
6.4299,36.26516,13.7349,0.42524,14260
6.4399,36.29889,13.7136,0.41358,14203
6.4499,36.28399,13.69236,0.41479,14147
6.4599,36.24615,13.67119,0.35176,14469
6.46989,36.26283,13.65009,0.39939,14148
6.47989,36.12009,13.62905,0.38144,14106
6.48989,36.28802,13.60807,0.34187,14286
